SampleName,D-C1,D-C2,D-OPC1,D-OPC2,D-GSE1,D-GSE2,S6-C1,S6-C2,S6-OPC1,S6-OPC2,S6-GSE1,S6-GSE2,HCT-C1,HCT-C2,HCT-OPC1,HCT-OPC2,HCT-GSE1,HCT-GSE2,HT-C1,HT-C2,HT-OPC1,HT-OPC2,HT-GSE1,HT-GSE2,S4-C1,S4-C2,S4-OPC1,S4-OPC2,S4-GSE1,S4-GSE2
TSPAN6,374,577,191,526,543,637,962,1109,396,702,595,734,614,644,449,506,363,375,762,771,607,630,591,514,298,534,121,302,255,166
DPM1,1983,2022,1073,1817,2070,1681,1197,1337,705,1223,966,1025,1068,1051,1093,1322,866,831,2051,1754,1380,1666,1325,1262,1565,2128,911,2150,2301,1686
SCYL3,133,128,98,122,116,86,274,298,179,235,173,222,433,343,339,394,310,246,585,462,391,333,330,270,204,269,110,199,177,162
C1orf112,374,440,201,353,347,335,175,148,100,143,126,148,214,169,155,198,127,162,460,392,306,308,262,212,255,361,75,184,164,133
CFH,0,0,0,0,0,0,0,0,0,1,5,0,2,1,1,1,2,1,1869,1615,1113,1179,999,851,0,1,1,0,0,1
FUCA2,2378,2928,1182,2522,2930,3045,2457,2823,1664,2891,2356,3057,1543,1366,1356,1616,1140,1038,1921,1709,1703,1789,1729,1518,1601,2141,807,1682,2090,1467
GCLC,1044,1311,718,1285,1260,1175,1767,2020,1577,2461,1775,2154,3532,2881,3558,4442,2873,2720,3450,2758,3153,3156,3045,2429,1232,1699,1226,2329,2251,1707
NFYA,949,1192,524,921,1088,932,831,988,642,917,955,979,1216,1008,951,1092,826,748,1242,964,810,796,853,671,707,990,455,893,1038,735
STPG1,339,349,190,371,362,384,101,114,163,255,202,284,242,218,336,412,381,311,232,197,209,207,275,190,101,117,84,192,229,166
NIPAL3,1633,2040,928,1719,1989,1817,1610,1888,884,1374,1086,1212,943,815,822,947,786,679,2298,1750,1800,1579,1700,1286,1106,1483,573,1129,1323,917
LAS1L,1421,1494,726,1411,1536,1303,1592,1832,1358,2251,1420,1678,896,843,745,879,645,579,1646,1337,1187,1170,1136,1003,1452,1883,778,1478,1811,1241
ENPP4,560,743,301,676,671,610,583,740,241,380,365,397,859,800,825,1070,719,610,580,475,461,458,421,331,609,876,335,751,733,513
SEMA3F,206,221,113,176,202,189,922,1102,562,798,765,834,244,238,215,253,250,194,292,317,234,198,225,182,89,157,82,132,174,104
CFTR,0,0,0,2,4,0,19,1,1,0,1,0,4,1,3,1,0,1,5137,3650,1696,1563,1618,1118,0,2,2,2,1,0
ANKIB1,2150,2224,1338,2058,2327,1800,1160,1368,862,1304,1268,1383,2040,1529,1570,1898,1502,1358,4523,3437,3419,3077,3536,2625,4006,5429,2641,5129,5865,4136
CYP51A1,71,95,42,101,106,127,28,33,45,61,78,93,161,130,183,171,172,117,96,73,93,93,98,93,85,110,58,130,169,150
KRIT1,1542,1554,954,1440,1583,1124,870,939,492,799,684,722,1059,734,739,864,684,568,1232,856,805,773,820,575,1635,2076,797,1680,1714,1209
RAD52,445,400,260,374,363,227,401,504,250,356,326,300,447,352,355,402,324,263,201,148,141,124,102,76,215,320,161,245,311,202
MYH16,5,11,2,5,4,6,1,2,19,40,91,98,14,21,29,35,46,51,9,5,5,11,22,9,2,4,12,41,152,140
BAD,236,318,88,260,297,385,135,146,85,141,104,163,202,220,224,197,224,203,366,348,387,333,336,384,241,329,166,306,399,269
LAP3,1100,1347,673,1377,1395,1231,595,663,466,814,494,590,1043,984,738,924,561,534,1961,1834,1292,1368,1385,1332,669,992,395,801,757,508
HS3ST1,1,0,1,0,1,0,8,1,1,0,4,3,1791,1742,1736,1925,1578,1427,870,744,645,609,650,533,106,155,89,160,218,132
AOC1,0,0,0,1,0,1,39,39,10,26,8,18,6,2,2,0,7,4,518,504,446,408,455,434,577,706,328,654,786,568
WNT16,0,1,0,1,0,0,6,4,0,3,0,0,2399,2240,1128,1243,806,768,0,0,0,0,0,2,115,159,30,87,70,49
HECW1,55,56,44,62,52,47,1,2,2,0,18,4,215,158,153,160,162,133,0,0,0,0,5,0,32,48,23,31,36,32
MAD1L1,189,220,125,250,282,263,255,310,327,433,352,389,300,219,282,279,257,209,418,373,332,303,314,292,609,761,1110,2210,3531,2480
