Run,Sample Name
SRR19144520,CTRL_feces_118
SRR19144430,CTRL_feces_184
SRR19144587,CTRL_feces_144
SRR19144542,CTRL_feces_028
SRR19144457,CTRL_feces_100
SRR19144569,CTRL_feces_161
SRR19144523,CTRL_feces_115
SRR19144458,CTRL_feces_099
SRR19144372,CTRL_feces_207
SRR19144491,CTRL_feces_231
SRR19144481,PDAC_feces_005
SRR19144483,PDAC_feces_003
SRR19144566,PDAC_feces_015
SRR19144559,PDAC_feces_023
SRR19144554,PDAC_feces_028
SRR19144485,PDAC_feces_001
SRR19144561,PDAC_feces_020
SRR19144537,PDAC_feces_044
SRR19144475,PDAC_feces_010
SRR19144560,PDAC_feces_021
